date,type,word_df,word_token,word_emo,comment,comment_token,comment_emoji,longitude,latitude,district,subdistrict,status,color_word_df
2022-09-01,ถนน,ถนน,ถนน,ถนน,"เส้นทางที่แชร์
จาก (13.7750311,100.5278189) ไป ซอย จรัญสนิทวงศ์ 65 ผ่าน ถนน สุโขทัย และ ถนนหมายเลข 341

18 นาที (6.4 กม.)
18 นาที สำหรับสภาพการจราจรปัจจุบัน


1. มุ่งหน้าทางตะวันตกเฉียงใต้ ไปตามถนน สวรรคโลก เข้าสู่ซ. สุคันธาราม
2. เลี้ยวขวา ที่ แยก สวรรคโลก เข้าสู่ ถนน สุโขทัย
3. เลี้ยวซ้าย เข้าสู่ ถนนสามเสน
4. เลี้ยวขวา ที่ แยก ซังฮี้ เข้าสู่ ถ. ราชวิถี
5. ชิดขวา เพื่อวิ่งต่อบน ถนนหมายเลข 341
6. เลี้ยวซ้าย เข้าสู่ ซ. สิรินธร 5
7. เลี้ยวซ้าย เข้าสู่ ซอย จรัญสนิทวงศ์ 65/ซอย ร่วมพัฒนา
8. เลี้ยวซ้าย เพื่อวิ่งบน ซอย จรัญสนิทวงศ์ 65/ซอย ร่วมพัฒนา
9. ถึงสถานที่: ซอย จรัญสนิทวงศ์ 65
ดูเส้นทางดีที่สุดสำหรับสภาพการจราจรปัจจุบันที่ https://maps.app.goo.gl/rWDNqeB2weUpzCDG6",เส้นทางที่แชร์ จาก ไป ซอย จรัญสนิทวงศ์ ผ่าน ถนน สุโขทัย และ ถนนหมายเลข นาที กม นาที สำหรับสภาพการจราจรปัจจุบัน มุ่งหน้าทางตะวันตกเฉียงใต้ ไปตามถนน สวรรคโลก เข้าสู่ซ สุคันธาราม เลี้ยวขวา ที่ แยก สวรรคโลก เข้าสู่ ถนน สุโขทัย เลี้ยวซ้าย เข้าสู่ ถนนสามเสน เลี้ยวขวา ที่ แยก ซังฮี้ เข้าสู่ ถ ราชวิถี ชิดขวา เพื่อวิ่งต่อบน ถนนหมายเลข เลี้ยวซ้าย เข้าสู่ ซ สิรินธร เลี้ยวซ้าย เข้าสู่ ซอย จรัญสนิทวงศ์ ซอย ร่วมพัฒนา เลี้ยวซ้าย เพื่อวิ่งบน ซอย จรัญสนิทวงศ์ ซอย ร่วมพัฒนา ถึงสถานที่ ซอย จรัญสนิทวงศ์ ดูเส้นทางดีที่สุดสำหรับสภาพการจราจรปัจจุบันที่,เส้นทางที่แชร์ จาก ไป ซอย จรัญสนิทวงศ์ ผ่าน ถนน สุโขทัย และ ถนนหมายเลข นาที กม นาที สำหรับสภาพการจราจรปัจจุบัน มุ่งหน้าทางตะวันตกเฉียงใต้ ไปตามถนน สวรรคโลก เข้าสู่ซ สุคันธาราม เลี้ยวขวา ที่ แยก สวรรคโลก เข้าสู่ ถนน สุโขทัย เลี้ยวซ้าย เข้าสู่ ถนนสามเสน เลี้ยวขวา ที่ แยก ซังฮี้ เข้าสู่ ถ ราชวิถี ชิดขวา เพื่อวิ่งต่อบน ถนนหมายเลข เลี้ยวซ้าย เข้าสู่ ซ สิรินธร เลี้ยวซ้าย เข้าสู่ ซอย จรัญสนิทวงศ์ ซอย ร่วมพัฒนา เลี้ยวซ้าย เพื่อวิ่งบน ซอย จรัญสนิทวงศ์ ซอย ร่วมพัฒนา ถึงสถานที่ ซอย จรัญสนิทวงศ์ ดูเส้นทางดีที่สุดสำหรับสภาพการจราจรปัจจุบันที่,100.4907,13.78322,บางพลัด,บางบำหรุ,finish,brown
2022-09-02,"ถนน,ท่อระบายน้ำ,น้ำท่วม",ท่อระบายน้ำ,ท่อระบายน้ำ,ท่อระบายน้ำ,ตรงข้ามปากซอยเทียนทะเล26 ถนนบางขุนเทียน-ชายทะเล  เขาสร้างตึกถมที่แล้วไม่มีท่อระบายน้ำ ทำให้เวลาฝนตกหรือบางครั้ง น้ำท่วมถนน ช่วยจัดการให้ด้วยค่ะ,ตรงข้ามปากซอยเทียนทะเล ถนนบางขุนเทียนชายทะเล เขาสร้างตึกถมที่แล้วไม่มีท่อระบายน้ำ ทำให้เวลาฝนตกหรือบางครั้ง น้ำท่วมถนน ช่วยจัดการให้ด้วยค่ะ,ตรงข้ามปากซอยเทียนทะเล ถนนบางขุนเทียนชายทะเล เขาสร้างตึกถมที่แล้วไม่มีท่อระบายน้ำ ทำให้เวลาฝนตกหรือบางครั้ง น้ำท่วมถนน ช่วยจัดการให้ด้วยค่ะ,100.43503,13.60674,บางขุนเทียน,ท่าข้าม,inprogress,green
2022-09-03,"ถนน,จราจร",ถนน,ถนน,ถนน,"รถจอดทำให้การจราจรในซอย 43/1 หนาแน่นมากครับ ออกจากคอนโดลุมพินีตรงบดินเดชาเเต่ละวัน ลำบากมากครับรถติด อยากให้ช่วยแก้ปัญหา รถที่จอดสองฝั่งข้างถนนครับ 
สน.หัวหมากแจ้งไปก็มาดูแต่ครั้งแรกครับ ไม่สามารถแก้ปัญหาอะไรได้เลยครับ",รถจอดทำให้การจราจรในซอย หนาแน่นมากครับ ออกจากคอนโดลุมพินีตรงบดินเดชาเเต่ละวัน ลำบากมากครับรถติด อยากให้ช่วยแก้ปัญหา รถที่จอดสองฝั่งข้างถนนครับ สนหัวหมากแจ้งไปก็มาดูแต่ครั้งแรกครับ ไม่สามารถแก้ปัญหาอะไรได้เลยครับ,รถจอดทำให้การจราจรในซอย หนาแน่นมากครับ ออกจากคอนโดลุมพินีตรงบดินเดชาเเต่ละวัน ลำบากมากครับรถติด อยากให้ช่วยแก้ปัญหา รถที่จอดสองฝั่งข้างถนนครับ สนหัวหมากแจ้งไปก็มาดูแต่ครั้งแรกครับ ไม่สามารถแก้ปัญหาอะไรได้เลยครับ,100.61631,13.76102,บางกะปิ,หัวหมาก,finish,brown
2022-09-04,"ถนน,น้ำท่วม,ต้นไม้",ถนน,ถนน,ถนน,ซ.ปรีดี31 (ซ.เจริญใจ หรือ เอกมัย12) บ้านติดถนนแล้วปลูกต้นไม้บริเวณหน้าบ้านบนทางเดิน ตอนนี้ที่ปลูกต้นไม้พัง (ตามรูปที่แนบมา) เป็นอันตรายทั้งคนเดิน มอเตอร์ไซด์ จักรยานมากค่ะ บริเวณนี้ถ้าฝนตกหนัก น้ำจะท่วม เวลาน้ำท่วมจะไม่สามารถเห็นตัวอิฐที่พังได้เลย,ซปรีดี ซเจริญใจ หรือ เอกมัย บ้านติดถนนแล้วปลูกต้นไม้บริเวณหน้าบ้านบนทางเดิน ตอนนี้ที่ปลูกต้นไม้พัง ตามรูปที่แนบมา เป็นอันตรายทั้งคนเดิน มอเตอร์ไซด์ จักรยานมากค่ะ บริเวณนี้ถ้าฝนตกหนัก น้ำจะท่วม เวลาน้ำท่วมจะไม่สามารถเห็นตัวอิฐที่พังได้เลย,ซปรีดี ซเจริญใจ หรือ เอกมัย บ้านติดถนนแล้วปลูกต้นไม้บริเวณหน้าบ้านบนทางเดิน ตอนนี้ที่ปลูกต้นไม้พัง ตามรูปที่แนบมา เป็นอันตรายทั้งคนเดิน มอเตอร์ไซด์ จักรยานมากค่ะ บริเวณนี้ถ้าฝนตกหนัก น้ำจะท่วม เวลาน้ำท่วมจะไม่สามารถเห็นตัวอิฐที่พังได้เลย,100.59305,13.7298,วัฒนา,คลองตันเหนือ,finish,brown
2022-09-05,จราจร,จราจร,จราจร,จราจร,แยกนี้รถติดไม่มีจราจร  แต่จราจรไปอยู่แยกรถที่ไม่ติด 55,แยกนี้รถติดไม่มีจราจร แต่จราจรไปอยู่แยกรถที่ไม่ติด,แยกนี้รถติดไม่มีจราจร แต่จราจรไปอยู่แยกรถที่ไม่ติด,100.36392,13.75943,ทวีวัฒนา,ทวีวัฒนา,finish,blanchedalmond
2022-09-06,น้ำท่วม,น้ำท่วม,น้ำท่วม,น้ำท่วม,น้ำท่วมในโสสุนครค่ะ,น้ำท่วมในโสสุนครค่ะ,น้ำท่วมในโสสุนครค่ะ,100.55868,13.86298,หลักสี่,ทุ่งสองห้อง,finish,fuchsia
2022-09-07,น้ำท่วม,น้ำท่วม,น้ำท่วม,น้ำท่วม,แจ้งปัญหาน้ำท่วมหน่อยคะ,แจ้งปัญหาน้ำท่วมหน่อยคะ,แจ้งปัญหาน้ำท่วมหน่อยคะ,100.74723,13.84464,คลองสามวา,ทรายกองดิน,inprogress,fuchsia
2022-09-08,"ถนน,น้ำท่วม",ถนน,ถนน,ถนน,น้ำท่วมขังบริเวณทางเข้าถนนเทพรักษ์,น้ำท่วมขังบริเวณทางเข้าถนนเทพรักษ์,น้ำท่วมขังบริเวณทางเข้าถนนเทพรักษ์,100.60658,13.89115,บางเขน,อนุสาวรีย์,finish,brown
2022-09-09,"ถนน,น้ำท่วม,ท่อระบายน้ำ",ท่อระบายน้ำ,ท่อระบายน้ำ,ท่อระบายน้ำ,น้ำท่วมขัง ตั้งแต่วันที่7 / ถนนไม่มีท่อระบายน้ำ,น้ำท่วมขัง ตั้งแต่วันที่ ถนนไม่มีท่อระบายน้ำ,น้ำท่วมขัง ตั้งแต่วันที่ ถนนไม่มีท่อระบายน้ำ,100.80216,13.7684,ลาดกระบัง,ลำปลาทิว,finish,green
2022-09-10,"ท่อระบายน้ำ,น้ำท่วม",ท่อระบายน้ำ,ท่อระบายน้ำ,ท่อระบายน้ำ,ท่อระบายน้ำไม่เคยระบายน้ำได้เพราะก่อสร้างไม่ได้มาตรฐานทำปากท่อสูงกว่าระดับถนน น้ำขังตลอดเวลา,ท่อระบายน้ำไม่เคยระบายน้ำได้เพราะก่อสร้างไม่ได้มาตรฐานทำปากท่อสูงกว่าระดับถนน น้ำขังตลอดเวลา,ท่อระบายน้ำไม่เคยระบายน้ำได้เพราะก่อสร้างไม่ได้มาตรฐานทำปากท่อสูงกว่าระดับถนน น้ำขังตลอดเวลา,100.57853,13.81374,จตุจักร,จันทรเกษม,finish,green
